rownr,sensor_id,sensor_tag,device_name,device_id
1,268ef1cd-0fa6-4265-bd71-af1b2d54a3b8,soil_pH,PH2 | 4D25,0b8fc9a9-f221-4c96-9e5a-5d8e3458a0d3
2,84de4675-2e41-488a-a7b2-265645c69c25,soilTemperature,SPoHF_EC-BV_rij5,0ee1b6f0-0493-4d0f-b9ff-5f3c802dcb2d
3,da9d76ac-d406-47f9-a5fa-5d6e90797468,soilMoisture,SPoHF_EC-BV_rij5,0ee1b6f0-0493-4d0f-b9ff-5f3c802dcb2d
4,f83739c1-cde5-49aa-9b90-fcab4490fc47,soilConductivity,SPoHF_EC-BV_rij5,0ee1b6f0-0493-4d0f-b9ff-5f3c802dcb2d
5,876ce569-e97c-4323-a916-8cafde7d007e,soil_pH,PH1 | 4D1D,1002170d-53e1-4f91-a84f-0b1db747ddc4
6,35f27ebd-e678-4601-9d4f-aa665bd17010,soilTemperature,03 | 0E09 | BV + EC + BT,10bd2d6c-4e2b-4bcf-8f80-129c348a63d9
7,6c1b6276-4278-4393-b22b-6077d15db6a3,soilConductivity,03 | 0E09 | BV + EC + BT,10bd2d6c-4e2b-4bcf-8f80-129c348a63d9
8,ff220b11-2f11-457b-beea-499bebc01219,soilMoisture,03 | 0E09 | BV + EC + BT,10bd2d6c-4e2b-4bcf-8f80-129c348a63d9
9,44ef124e-f40c-4cf4-a3db-48f12d9849ef,soil_pH,PH3 | 4D20,26394b7c-f309-4c82-af6e-bbca8cebbde5
10,a0263dd0-deab-4897-ac33-52241ceff141,leaf_moisture,DF1D | BN + BT | Midden control,39009908-08fc-4719-a0c4-d253e294ff00
11,df69623c-1684-4251-a3f2-ba3518e125fb,leaf_temperature,DF1D | BN + BT | Midden control,39009908-08fc-4719-a0c4-d253e294ff00
12,60f285ee-431d-4238-9007-c022f2dcc678,humidity,366E | LT + LV | Rij 5 boven | 2,57fd41c1-a87e-4552-b89b-6bb7447cb374
13,c4b0a015-dfbd-4ec7-adce-3e69b934e62a,temperature,366E | LT + LV | Rij 5 boven | 2,57fd41c1-a87e-4552-b89b-6bb7447cb374
14,0ce53c08-71d3-45d6-9bf6-5f5bb1204955,soilTemperature,04 | 0E69 | BV + EC + BT,59e57c08-89bb-4bd1-a35a-09e8343db5a8
15,aed214bc-a873-4d0c-8cad-3c5d8a9d189b,soilConductivity,04 | 0E69 | BV + EC + BT,59e57c08-89bb-4bd1-a35a-09e8343db5a8
16,b63860fd-76b2-4ea8-a53b-97c73ed2158d,soilMoisture,04 | 0E69 | BV + EC + BT,59e57c08-89bb-4bd1-a35a-09e8343db5a8
17,3b8a7931-0927-49a7-bc1d-d10091f98c03,humidity,3670 | LT + LV | Rij 3 Onder | 3,5dfaffc0-0cc9-47cd-a9bc-dce47b4204a9
18,c477f5a0-2e3e-4450-a405-03100174d946,temperature,3670 | LT + LV | Rij 3 Onder | 3,5dfaffc0-0cc9-47cd-a9bc-dce47b4204a9
20,85d6939c-881d-4001-b965-1171561ec8b1,soilTemperature,01 | 0E5E | BV + EC + BT,72e801d1-20ae-4daf-92d8-5477ae784458
21,c81896cc-6e02-4292-9ba6-f3c1893ea21f,soilConductivity,01 | 0E5E | BV + EC + BT,72e801d1-20ae-4daf-92d8-5477ae784458
22,d1da4572-bde7-4c5f-8a8e-9470156712b3,soilMoisture,01 | 0E5E | BV + EC + BT,72e801d1-20ae-4daf-92d8-5477ae784458
23,79ff4920-2eed-4d01-b18b-6c7d96509014,humidity,366D | LT + LV | Rij 1 Onder | 5,732a3778-098f-4560-a997-c39d26c4e682
24,ea553100-8554-4998-9044-a8702844cf7a,temperature,366D | LT + LV | Rij 1 Onder | 5,732a3778-098f-4560-a997-c39d26c4e682
25,16ab5345-0be1-4cfc-94b0-568f0fef4c77,humidity,3672 | LT + LV | Rij 5 onder | 1,8d86de9c-d667-452d-bb25-bbf1a20a4847
26,b97483fe-8194-4e36-b7bf-6f8c49d40a73,temperature,3672 | LT + LV | Rij 5 onder | 1,8d86de9c-d667-452d-bb25-bbf1a20a4847
27,dbd5b7c2-8df0-42a7-94c7-c46b244985cf,humidity,366F | LT + LV | Rij 1 Boven | 6 ,a544c756-ee66-4322-b4ba-efad4ec890dd
28,ed92fab2-dbbd-49f1-be65-dd79c2dcf27b,temperature,366F | LT + LV | Rij 1 Boven | 6 ,a544c756-ee66-4322-b4ba-efad4ec890dd
29,03e8a7fa-0794-4e15-8810-ec4864cf6835,soilConductivity,SPoHF_EC-BV_rij1,abcfe73b-cf4b-420e-a8d3-613d9ddd5b54
